text,label,source,subject,length
Says the Annies List political group supports third-trimester abortions on demand. a mailer,0,liar,abortion,13
Hillary Clinton agrees with John McCain by voting to give George Bush the benefit of the doubt on Iran. Denver,1,liar,foreign-policy,20
Health care reform legislation is likely to mandate free sex change surgeries. a news release,0,liar,health-care,15
The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured UW faculty fired during the last two decades. a an online opinion-piece,1,liar,education,31
Jim Dunnam has not lived in the district he represents for years now. a press release.,0,liar,candidates-biography,16
Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost 788 million in higher electricity costs. an online video,1,liar,"energy,message-machine-2014,voting-record",24
"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin. a speech",1,liar,elections,23
"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it. an interview with CBN News",0,liar,"history,state-budget",27
The economy bled 24 billion due to the government shutdown. a Doonesbury strip in the Sunday comics,1,liar,"economy,federal-budget,health-care",17
Most of the Affordable Care Act has already in some sense been waived or otherwise suspended. comments on Fox News Sunday,0,liar,health-care,21
McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote disgraceful. a radio ad,1,liar,federal-budget,22
"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out a news release",0,liar,federal-budget,25
"Almost 100,000 people left Puerto Rico last year. an interview with Bloomberg News",1,liar,"bankruptcy,economy,population",13
Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor. a campaign debate,0,liar,"economy,income",23
The United States has the highest corporate tax rate in the free world. a discussion on Fox News The Five,1,liar,"corporations,taxes",20
We just had the best year for the auto industry in America in history. remarks at a Kentucky rally,1,liar,economy,19
Says Mitt Romney wants to get rid of Planned Parenthood. a radio ad,0,liar,"abortion,federal-budget,health-care",13
I dont know who Jonathan Gruber is. a news conference,0,liar,health-care,10
Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino. a speech after a terrorist attack in Orlando,1,liar,"crime,diversity,homeland-security,terrorism",22
"ISIS supporter tweeted at 1034 a.m. Shooting began at 1045 a.m. in Chattanooga, Tenn. a tweet",0,liar,"technology,terrorism",16
Youth unemployment in minority communities is about 40 to 45 percent. a gubernatorial debate,1,liar,"diversity,economy,jobs",14
"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates. a radio talk show",0,liar,"economy,labor,states,unions,workers",28
What the Obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants. a campaign ad,0,liar,"climate-change,energy,environment,government-regulation",35
We cut business taxes so today 70 percent of our businesses dont pay a business tax. a speech at an Americans for Prosperity Foundation conference,1,liar,"small-business,taxes",25
Says Mark Pryor votes with Obama 93 percent of the time. a debate,1,liar,"bipartisanship,voting-record",13
We have a federal government that thinks they have the authority to regulate our toilet seats. a speech at CPAC,1,liar,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",20
Austin is a city that has basically doubled in size every 25 years or so since it was founded. his State of the City address,1,liar,"city-government,population",25
